request_number,date_unloading,volume_unloaded
281204,2023-10-17,29.857499999999998
266801,2023-10-10,30.0
51159,2024-03-29,30.0
15848,2024-03-08,30.0
65379,2024-02-07,30.0
82309,2024-02-19,30.0
34648,2024-03-22,30.0
190825,2023-12-23,30.0
248801,2023-11-29,30.0
202192,2024-01-02,30.0
225809,2023-11-14,30.0
226426,2023-11-15,29.8518
131967,2024-01-23,30.0
67388,2024-02-09,30.0
223670,2023-11-13,30.0
190323,2023-12-23,30.0
244229,2023-11-26,30.0
120874,2024-01-19,30.0
137577,2024-01-26,30.0
24161,2024-03-13,30.0
185601,2023-12-20,30.0
284393,2023-10-19,30.0
226536,2023-11-15,30.0
163864,2023-12-09,29.782799999999998
34700,2024-03-19,30.0
152937,2024-02-01,30.0
30106,2024-03-17,30.0
134781,2024-01-24,30.0
34736,2024-03-19,30.0
176054,2023-12-16,30.0
14184,2024-03-09,30.0
137945,2024-01-26,29.8872
178412,2023-12-19,30.0
106116,2024-01-13,30.0
152800,2024-02-01,30.0
188400,2023-12-22,30.0
150152,2024-01-31,30.0
77884,2024-02-16,30.0
185938,2023-12-20,30.0
90042,2024-02-25,30.0
136159,2024-01-25,30.0
280995,2023-10-17,30.0
265136,2023-10-10,29.8815
27185,2024-03-15,30.0
217585,2023-11-09,30.0
67632,2024-02-09,29.8395
85524,2024-02-21,30.0
53732,2024-03-30,30.0
163922,2023-12-07,30.0
47947,2024-03-27,30.0
95294,2024-02-28,30.0
73687,2024-02-13,30.0
222917,2023-11-12,30.0
66549,2024-02-08,30.0
178154,2023-12-16,30.0
262418,2023-10-07,30.0
271691,2023-10-13,30.0
174824,2023-12-14,30.0
178816,2023-12-16,30.0
74360,2024-02-14,30.0
71156,2024-02-11,29.8353
296615,2023-10-27,30.0
179952,2023-12-17,30.0
71967,2024-02-12,30.0
262068,2023-10-07,30.0
35831,2024-03-20,30.0
123201,2024-01-21,30.0
161742,2023-12-06,30.0
35236,2024-03-20,29.7909
220779,2023-11-11,30.0
298965,2023-10-27,30.0
19688,2024-03-10,30.0
95332,2024-02-28,30.0
46970,2024-03-26,30.0
303411,2023-10-29,30.0
262967,2023-10-08,30.0
232289,2023-11-19,30.0
142885,2024-01-28,29.8674
179641,2023-12-17,30.0
236972,2023-11-22,30.0
104854,2024-01-12,29.8275
27403,2024-03-15,30.0
109395,2024-01-14,30.0
74720,2024-02-14,30.0
259011,2023-10-08,30.0
33201,2024-03-21,30.0
41222,2024-03-23,30.0
140412,2024-01-27,30.0
66157,2024-02-11,29.8551
113962,2024-01-16,30.0
154702,2023-12-02,30.0
129013,2024-01-22,30.0
146802,2024-01-30,30.0
215953,2023-11-08,30.0
